,client_id,quantity,average_price,average_price_ref,price_sensitivity,percentile
0,3993,99.75,2.5715833333333333,4602.712266666672,0.00040425016921116406,0.40436209226018144
1,4032,50.0,0.0,,,
2,4033,50.08,4.630398306813546,2686.3291869574396,0.0010270281671366029,0.4739432541980313
3,4034,24.375,2.115651503469545,30884.18073529412,4.476602813596873e-05,0.25236440841536384
4,4035,25.0,15.282,13275.123098691605,10.697538804364337,0.9637135688091102
5,4036,12.5,3.5194285714285716,4174.346666666667,0.00017135277558562342,0.3436595251881876
6,4037,32.5,23.178365896980463,2445.266363636363,0.05206757363835541,0.6738081451457247
7,4039,8700.0,0.22903448275862068,17873.91944444443,1.2813892524832272e-05,0.17689635205558774
8,4040,194.5945,0.4196556994030338,4767.44,8.924087439810936e-05,0.29608183748311134
9,4041,25.0,39.338,1740.9063999999998,0.205725211393444,0.7543910441999614
10,4042,4161.15,0.16269920219548856,35710.52902874614,2.6879243710183515e-08,0.0451650260567458
11,4043,80.0,4.917,27539.270000000342,1.9630692516046922e-05,0.2004439297432928
12,4044,26.2265,19.831470688894356,3221.4958244090294,0.0001666905359432026,0.34115035707392394
13,4045,15.0,16.843248484848484,8824.426,0.0022362172149591754,0.5240301100173712
14,4046,26.685,43.69177822975149,24.925,147.39696092551597,0.9878401852924146
15,4047,13.949000000000002,13.157215571008672,10.982853431495469,0.05742599745346569,0.6782474425786528
16,4048,16.8125,21.221895177272557,271634.8841666131,6.882036594114492e-06,0.1464968152866242
17,4049,28.6395,78.033175,26549.640000000327,0.006714554321640436,0.5828025477707006
18,4050,2.5,16.46,470.4609473324213,0.010862417546822559,0.6046130090716078
19,4051,57.253,18.0,3029.717647058824,0.01478718595767555,0.6169658367110596
20,4052,1.5,565.424,1223.6590707070704,0.3843319491276629,0.8001351090523066
21,4053,2.5,66.336,558.504476744186,0.09657513694416553,0.7079714340860838
22,4054,50.0,55.0246,,,
23,4055,5.0,291.46,,,
24,4056,6.0,0.4466666666666667,,,
25,4057,190.649,1.6042581606184347,109.34734444754989,0.016150324098021102,0.6210191082802548
26,4058,47400.0,0.019969335764756062,,,
27,4059,417.5,1.028220964016986,23247.590657871257,1.8209343972059662e-05,0.19696969696969696
28,4060,149.85,2.2268375000000002,9042.939777777767,0.00010016929788253934,0.30409187415556843
29,4061,57.0,3.7580312603924177,8422.937497350758,0.00018491017780971405,0.34887087434858133
30,4062,55960.0,0.026638794476766137,38640.821315789464,4.492553401735866e-08,0.04863925883034163
31,4063,46.894000000000005,5.274543073140883,3479.5819999999976,0.000657188118193482,0.44142057517853694
32,4064,700.0,0.35982142857142857,9150.782196581185,1.928532674128109e-06,0.1046130090716078
33,4065,113.63499999999999,0.5648730293792951,35.87606001009467,0.06946496661296339,0.6905037637521714
34,4066,12.03,76.166017147311,,,
35,4067,125.0,2.0851063829787235,5815.5365,0.0004369684599112283,0.41063501254584056
36,4068,20.0,4.298032515550336,128.68478882656885,0.0002634302957215601,0.37415556842308434
37,4069,23.75,1431.0,326040.79718978103,127.71791530944625,0.9872611464968153
38,4070,958.6815,0.22323199114487474,16073.733521743132,6.569328810717235e-05,0.2758154796371357
39,4071,5.0,24.71,771.9591836734694,0.2097962247045731,0.7561281605867594
40,4072,3.76,44.705882352941174,31576.816515037583,0.0016298793261146577,0.5046323103647944
41,4073,1591.1499999999999,0.03823250746856076,3221.4958244090294,2.4099055833919733e-05,0.2130862767805443
42,4074,200.0,1.5705727498005277,10231.069518716578,3.108045157253366e-05,0.22707971434086083
43,4075,2640.65,57.78095909770423,217171.7550877194,0.9813869724855059,0.8628643119088979
44,4076,83.25,2.7871745844916025,1246.602226406119,0.003604559172269281,0.5496043234896738
45,4077,103.5,0.44271095074477934,2442.3154809485745,0.0002037377181523813,0.3563983786913723
46,4078,70.0,2.0069952574295513,3100.9592524107,0.0004351132922375797,0.4103454931480409
47,4079,67.172,2.7412479497090354,6700.209911111115,0.0001275671295403811,0.3205944798301486
48,4080,50.0,inf,0.04080288661887583,149.54824292203762,0.9879366917583479
49,4081,1895.5,0.09538593432184726,4955.802857142857,2.8287565410844877e-07,0.06861609727851765
50,4082,12638.05,0.017762824469112322,23247.590657871257,1.3413896620809723e-06,0.09689249179695039
51,4083,235.0,1.2719888024507016,1382.119155555556,0.0002790158481586933,0.37955993051534453
52,4084,70.0,3.395,113.84422110552764,0.004979781413482846,0.5656243968345879
53,4085,101.0,4.323425531914894,4586.894750000001,0.0005777564286787324,0.4312873962555491
54,4086,431.8,0.8494210282538212,77.52660186223245,0.01095651051187917,0.6049025284694074
55,4087,292.7,0.4267619047619048,12255.199800000002,8.05386694963236e-05,0.2900019301293187
56,4088,22969.2,0.03413840766244962,,,
57,4089,103.49,3.13477868852459,1182.134113584037,0.0004354330294049203,0.41044199961397415
58,4090,3400.0,0.11883255530748936,1747782.4699999997,2.786378855990286e-08,0.04535803898861224
59,4091,287.39,0.2857142857142857,42542.69499999999,6.715942318987684e-06,0.14514572476355916
60,4092,160.0,0.6899847665700888,11220.033447350766,1.3559755478082135e-05,0.1795985331017178
61,4093,1400.0,0.0017857142857142857,12517.302,1.5088052377621054e-07,0.06118509940165991
62,4094,100.0,5.42885,133250.67994735067,1.8972351434661517e-07,0.06359776104999035
63,4095,176.0,1.4159245402329135,8160.874852420312,8.006019936408517e-05,0.28932638486778617
64,4096,695.55,1.2631980512281775,2148.7435913435584,0.00046394774482403446,0.41430225825130285
65,4097,110.0,3.4419117647058823,5123.940555555555,0.00015494265449814102,0.3346844238563984
