,client_id,wallet_share,Acres,wallet_share.1,percentile
0,3993,0.7424600459999999,1000.0,0.7424600459999999,0.9883498009143195
1,4032,0.009061237,,,0.08295236690753577
2,4033,0.079863933,,,0.8351275623064445
3,4034,0.625736518,,,0.9786167231971685
4,4035,0.064005964,,,0.8074767733372659
5,4036,0.49603229200000004,,,0.9622474561274148
6,4037,0.011591694,,,0.45280932015926856
7,4039,0.006622048,,,0.010101754903406578
8,4040,0.026833425,,,0.737354372511429
9,4041,0.67324306,,,0.9827459076832326
10,4042,0.40656657399999996,,,0.9489750774222091
11,4043,0.430508062,,,0.9522931720985105
12,4044,0.550347291,,,0.970063412476036
13,4045,0.421338079,,,0.9512608759769945
14,4046,0.35688143899999997,400.0,0.35688143899999997,0.939610676891314
15,4047,0.23700096199999998,,,0.9138770092906651
16,4048,0.026718595,,,0.7369856953251733
17,4049,0.057641702,,,0.796195251437841
18,4050,0.162508152,,,0.8934522931720985
19,4051,0.11741086099999999,,,0.8711104556850022
20,4052,0.161813621,,,0.8930098805485917
21,4053,0.075855672,,,0.8299660816988644
22,4054,0.161993628,,,0.8930836159858428
23,4055,0.078075548,,,0.8323993511281522
24,4056,0.01012307,,,0.18573956643562897
25,4057,0.160853478,6500.0,0.160853478,0.8925674679250848
26,4058,0.71049621,1200.0,0.71049621,0.9861377377967852
27,4059,0.187981284,1200.0,0.187981284,0.901415720395222
28,4060,0.775408552,,,0.9911517475298629
29,4061,0.653661717,1600.0,0.653661717,0.9809762571892051
30,4062,0.48906390899999996,,,0.9614363663176523
31,4063,0.24604100899999998,1600.0,0.24604100899999998,0.9156466597846925
32,4064,0.497867548,3000.0,0.497867548,0.9625423978764194
33,4065,0.127028372,,,0.8763456717298334
34,4066,0.020648538,500.0,0.020648538,0.708966229169739
35,4067,0.6993060659999999,3500.0,0.6993060659999999,0.9849579708007669
36,4068,0.328876355,,,0.9343017254092317
37,4069,0.010223731,1000.0,,0.2592537973750184
38,4070,0.111522644,,,0.8676448901341985
39,4071,0.774882831,80.0,0.774882831,0.9910780120926117
40,4072,0.365100225,,,0.9410116501990857
41,4073,0.703888128,1200.0,0.703888128,0.9856215897360271
42,4074,0.8005269709999999,3800.0,,0.9935112815218994
43,4075,0.12338365400000001,1800.0,,0.8744285503613036
44,4076,0.5036036079999999,,,0.9637959003096889
45,4077,0.575719849,,,0.9730128299660817
46,4078,0.8378876259999999,1800.0,0.8378876259999999,0.995354667453178
47,4079,0.7298913309999999,2200.0,0.7298913309999999,0.9874649756673057
48,4080,0.010223731,,,0.2592537973750184
49,4081,0.40452403200000003,2900.0,0.40452403200000003,0.9485695325173278
50,4081,0.40452403200000003,3000.0,0.40452403200000003,0.9485695325173278
51,4082,0.05358348,2000.0,0.05358348,0.7891903848989824
52,4083,0.440378594,1300.0,,0.9539522194366613
53,4083,0.440378594,7500.0,,0.9539522194366613
54,4084,0.248646759,,,0.9159416015336971
55,4085,0.635105629,2700.0,0.635105629,0.979870225630438
56,4086,0.007167796,2000.0,0.007167796,0.015115764636484294
57,4087,0.703657515,,,0.985547854298776
58,4088,0.10050344,5800.0,0.10050344,0.8590915794130659
59,4089,0.782057008,4000.0,,0.991741631027872
60,4090,0.0042313690000000004,1000.0,0.0042313690000000004,0.0021383276802831442
61,4091,0.019946636,1000.0,0.019946636,0.7032148650641499
62,4092,0.425173934,3500.0,0.425173934,0.9517770240377526
63,4093,0.010223731,1800.0,,0.2592537973750184
64,4094,0.722056496,2300.0,,0.9867276212947943
65,4095,0.12406391800000001,3500.0,0.12406391800000001,0.8746497566730571
66,4096,0.051867285,2000.0,0.051867285,0.785872290222681
67,4097,0.674762065,800.0,0.674762065,0.9828933785577348
68,4098,0.080304346,1500.0,0.080304346,0.8357174458044536
69,4099,0.537587704,,,0.9682200265447574
70,4100,0.010223731,1500.0,,0.2592537973750184
71,4101,0.520465771,1900.0,0.520465771,0.9662291697389765
72,4102,0.7743555040000001,360.0,0.7743555040000001,0.9910042766553606
73,4103,0.502461673,,,0.9636484294351866
74,4104,0.357759571,160.0,0.357759571,0.9398318832030674
75,4105,0.49346328100000003,3500.0,0.49346328100000003,0.9618787789411591
76,4106,0.7259206659999999,2400.0,,0.98709629848105
77,4107,0.010223731,,,0.2592537973750184
78,4108,0.11539675199999999,2500.0,0.11539675199999999,0.8699306886889839
79,4109,0.7024700629999999,7500.0,0.7024700629999999,0.9852529125497714
80,4110,0.136068121,250.0,0.136068121,0.8820233003981713
81,4111,0.010223731,250.0,,0.2592537973750184
82,4112,0.28184473600000004,,,0.9236838224450671
83,4113,0.965060668,2300.0,0.965060668,0.9994101165019909
84,4114,0.11231076599999999,5000.0,0.11231076599999999,0.8684559799439611
85,4115,0.597773311,,,0.9764046600796342
86,4116,0.310513637,1500.0,,0.9307624244211768
87,4117,0.05834918,6000.0,0.05834918,0.7975962247456128
88,4118,0.9996282259999999,2900.0,0.9996282259999999,1.0
89,4119,0.527156894,,,0.9671139949859903
90,4120,0.035523921,6000.0,0.035523921,0.7543135230791919
91,4121,0.20012992699999999,,,0.9042914024480165
92,4122,0.9072885690000001,3350.0,0.9072885690000001,0.9972717888217077
93,4123,0.075430992,,,0.8287863147028461
94,4125,0.029945284,2300.0,0.029945284,0.7448753871110456
95,4126,0.019517985,3500.0,0.019517985,0.6987170033918301
96,4127,0.7813031229999999,,,0.9916678955906209
97,4128,0.835620998,800.0,0.835620998,0.9952071965786757
98,4129,0.813250713,700.0,0.813250713,0.9941749004571597
99,4130,0.287033073,2200.0,0.287033073,0.9253060020645922
